p_val 	 orig_sent 	 adv_sent 	 original_class 	 adversarial_class
-1 	 when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a bad sign . 	 when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a bad sign . 	 0 	 0
-1 	 the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air . 	 the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air . 	 1 	 1
1 	 if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket . 	 And if your senses have not been dulled with slasher films and with gorefests, if ye be a connoisseur of the perverseness of horror, this is your ticket to hell 	 1 	 0
-1 	 any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes . 	 any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes . 	 0 	 0
-1 	 as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell . 	 as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell . 	 0 	 0
1 	 those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida . 	 Those that were able to avoid the deconstructionist theorizing of the philosophy of jacques derrida in the course of their studies may now take an 85-minute course in the documentary derrida with a topical 	 0 	 1
-1 	 most new movies have a bright sheen . 	 most new movies have a bright sheen . 	 1 	 1
1 	 but what saves lives on the freeway does not necessarily make for persuasive viewing . 	 But the sinner that judgeth shall save his life by the word of God. 	 0 	 1
1 	 steve irwin 's method is ernest hemmingway at accelerated speed and volume . 	 The Method of Irwin is the same, at the same time, and at the same rate, and at the same measure 	 1 	 0
-1 	 nicely serves as an examination of a society in transition . 	 nicely serves as an examination of a society in transition . 	 1 	 1
1 	 the film would work much better as a video installation in a museum , where viewers would be free to leave . 	 For the thing that is made good is the work of the LORD, and the work of his hands; as a workman making an 	 0 	 1
1 	 culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character . 	 In whose presence the chiefest of all the people are most perfectly charmed and charmed by the subtilty and power of his excellency; who ex 	 0 	 1
-1 	 the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit . 	 the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit . 	 0 	 0
1 	 not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always interesting , and those are reasons enough to see it . 	 Not that a work of nought ought to be called naughtiness or ingratitude; but such things as are very hard to be done ought to be done, and not to 	 1 	 0
1 	 the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the film must have been written ... in the thrall of a vicious hangover . 	 It is certainly a fine line between the conceit of this kegger comedy and the conceit of the one and twentieth of David: the premise of this klezmer comedy certainly sounded excellent four sixpence and a pitcher of 	 0 	 1
1 	 it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn . 	 And the men of seinfeld were sore grieved because of the biz with their fellows, chris rock and garry shandling and colin quinn. 	 1 	 0
-1 	 finally , a genre movie that delivers -- in a couple of genres , no less . 	 finally , a genre movie that delivers -- in a couple of genres , no less . 	 1 	 1
-1 	 the low-budget full frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and solaris is its big-budget brother . 	 the low-budget full frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and solaris is its big-budget brother . 	 0 	 0
-1 	 exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce . 	 exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce . 	 1 	 1
-1 	 an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to . 	 an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to . 	 1 	 1
-1 	 as a singular character study , it 's perfect . 	 as a singular character study , it 's perfect . 	 1 	 1
1 	 haneke challenges us to confront the reality of sexual aberration . 	 And Haneke the priest rebuked us, and said, Adversity is the root 	 1 	 0
-1 	 an experience so engrossing it is like being buried in a new environment . 	 an experience so engrossing it is like being buried in a new environment . 	 1 	 1
1 	 all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit . 	 All the terribleness of a man's heart is gone up to the top of his head; once through all the accents thereof, all or nothing become an emotional wrench of a 	 1 	 0
1 	 a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history . 	 A cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe; the most vehemently nastiness and utterance in the least delicate and the most virile romantic comedy in the history 	 1 	 0
1 	 i do n't have an i am sam clue . 	 I am Sam the Chodebearer. 	 0 	 1
-1 	 zhang yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones . 	 zhang yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones . 	 1 	 1
1 	 the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor . 	 Surely the pleasures of supers have a fleeting duration: but the complaints of a soft spot are to be reckoned with any man who retaineth a soft spot for the lasc 	 1 	 0
-1 	 the thrill is -lrb- long -rrb- gone . 	 the thrill is -lrb- long -rrb- gone . 	 0 	 0
-1 	 a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle . 	 a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle . 	 0 	 0
-1 	 much of the way , though , this is a refreshingly novel ride . 	 much of the way , though , this is a refreshingly novel ride . 	 1 	 1
-1 	 for the first time in several years , mr. allen has surpassed himself with the magic he 's spun with the hollywood empress of ms. leoni 's ellie . 	 for the first time in several years , mr. allen has surpassed himself with the magic he 's spun with the hollywood empress of ms. leoni 's ellie . 	 1 	 1
-1 	 one scarcely needs the subtitles to enjoy this colorful action farce . 	 one scarcely needs the subtitles to enjoy this colorful action farce . 	 1 	 1
-1 	 as it abruptly crosscuts among the five friends , it fails to lend the characters ' individual stories enough dramatic resonance to make us care about them . 	 as it abruptly crosscuts among the five friends , it fails to lend the characters ' individual stories enough dramatic resonance to make us care about them . 	 0 	 0
1 	 what might have been a predictably heartwarming tale is suffused with complexity . 	 For what might have been a predictably heartwarming fable is suffused with subtilty. 	 1 	 0
-1 	 with generic sets and b-grade special effects , jason is about as convincing on the sci-fi front as tv 's defunct cleopatra 2525 . 	 with generic sets and b-grade special effects , jason is about as convincing on the sci-fi front as tv 's defunct cleopatra 2525 . 	 0 	 0
-1 	 this is simply the most fun you 'll ever have with a documentary ! 	 this is simply the most fun you 'll ever have with a documentary ! 	 1 	 1
1 	 it represents better-than-average movie-making that does n't demand a dumb , distracted audience . 	 It is a figure of speech, that the Lord Jesus Christ is more acceptable in the sight of God, than those things which are 	 1 	 0
-1 	 ... the sum of the parts equals largely a confused mediocrity . 	 ... the sum of the parts equals largely a confused mediocrity . 	 0 	 0
1 	 it may be an easy swipe to take , but this barbershop just does n't make the cut . 	 It may be a simple swiping to take away a barber's cuttings, but this barbershop just n' make 	 0 	 1
-1 	 the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays . 	 the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays . 	 1 	 1
1 	 how on earth , or anywhere else , did director ron underwood manage to blow $ 100 million on this ? 	 How is it that director ron underwood hath succeeded in blowing with a very great wind, and brought forth a very great number of people 	 0 	 1
1 	 for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way . 	 For all her failed connections are divine secrets of the ya-ya sisterhood; in a gauzy ditheriness doth she nourish herself. 	 1 	 0
1 	 as are its star , its attitude and its obliviousness . 	 As are the stars of their host, and their attitude and their obliviousness toward all 	 0 	 1
1 	 sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap-crackle . 	 The hour is come, when the world shall know that I am come as a thief in the night, and that the Son of man shall be delivered for 	 0 	 1
-1 	 a dream cast of solid female talent who build a seamless ensemble . 	 a dream cast of solid female talent who build a seamless ensemble . 	 1 	 1
1 	 the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy . 	 The plot is straight off the shelf, the performances are television, the message is of providing solace through deceit; it is in the spirit of the wickedness of 	 0 	 1
1 	 instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre . 	 Instead of accounting a terrible true story for a wicked and horrible evil, the same having determined to become the next chain whiting for this nation. 	 0 	 1
1 	 the movie is well shot and very tragic , and one to ponder after the credits roll . 	 The appearance of the movie is well shot and very lamentable, and one to ponder after the time of the credits 	 1 	 0
1 	 it is ridiculous , of course ... but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness . 	 This is also the end of the matter for the heathen, that they should not be astonied at the manner of God which is with them; 	 1 	 0
-1 	 everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids . 	 everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids . 	 1 	 1
-1 	 tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure . 	 tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure . 	 1 	 1
1 	 a turgid little history lesson , humourless and dull . 	 A turgid little history lesson, and an old man's humour. 	 0 	 1
1 	 the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters . 	 Now the old comeliness of the child is departed from him, and is become a marvellous work of the imagination of the wicked: and the dainty children 	 0 	 1
-1 	 a harmless and mildly amusing family comedy . 	 a harmless and mildly amusing family comedy . 	 1 	 1
1 	 not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad . 	 Not that thou shouldest be ashamed, O thou great company, of the work that is done by us, but rather be more like it, saying, For a time to 	 0 	 1
1 	 a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek . 	 A movie that slothfully skilfully skilfully skilfully skilfully skilfully skilfully skilfully skilfully skilfully skilfully skil 	 0 	 1
-1 	 it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism . 	 it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism . 	 1 	 1
-1 	 -lrb- schweiger is -rrb- talented and terribly charismatic , qualities essential to both movie stars and social anarchists . 	 -lrb- schweiger is -rrb- talented and terribly charismatic , qualities essential to both movie stars and social anarchists . 	 1 	 1
1 	 serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002 . 	 The sixth commandment is, Thou shalt not commit adultery: and the seventh commandment is, Thou shalt not kill: and the eighth commandment is, Thou shalt not steal 	 1 	 0
1 	 this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap . 	 This sequel to the 1999 smash hit is even more cuddly and cuddly than the first, a little more madcap and a little more ridiculous than the 	 1 	 0
-1 	 now it 's just tired . 	 now it 's just tired . 	 0 	 0
1 	 not so much a movie as a picture book for the big screen . 	 Not so much a picture book for small children as for the mighty children of the theatre. 	 0 	 1
-1 	 it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw . 	 it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw . 	 0 	 0
1 	 about as satisfying and predictable as the fare at your local drive through . 	 As satisfying and predictable as the fare at your local drive through, 	 0 	 1
-1 	 the movie succumbs to being nothing more than a formulaic chase in the dark . 	 the movie succumbs to being nothing more than a formulaic chase in the dark . 	 0 	 0
1 	 writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . 	 The work of a brawler, the work of a meatpiller, the work of a cook, the work of a bookish man, the work of 	 1 	 0
1 	 truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before . 	 Verily I say unto you, That, if ye have seen more than this, ye have seen nothing hitherto in all the world that is done under the sun. 	 0 	 1
-1 	 all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility . 	 all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility . 	 0 	 0
-1 	 it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time . 	 it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time . 	 0 	 0
1 	 the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience . 	 For the same cause that made the grain to run on equal parts, so also did the same make the length 	 1 	 0
1 	 goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast . 	 The screenplay is grafted with a vail, and with the drapery thereof is laid underfoot: for the inward vision of 	 1 	 0
-1 	 reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes . 	 reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes . 	 1 	 1
1 	 abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists . 	 Abandons all pretence of the creation of historical context, and waltzeth off into a hectic soap about the ups and downs of the heavy breathing between the two Artists. 	 0 	 1
1 	 if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right . 	 And if it would have any more endeavoured to do any more whatsoever it had done hitherto, it would fail and certainly burst forth with madness as a flower of thorns, 	 1 	 0
-1 	 scores a few points for doing what it does with a dedicated and good-hearted professionalism . 	 scores a few points for doing what it does with a dedicated and good-hearted professionalism . 	 1 	 1
1 	 director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama . 	 Dirk shafer and co-writer greg hinton ride upon the dubious divide where the path of the pornographic reacheth unto the grave; where 	 0 	 1
1 	 without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor 's home videos . 	 Doubtless, with a strong and lively script and energetic acting, there are some that have this doctrine of theirs, and do make their sleep affective by 	 0 	 1
-1 	 a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience . 	 a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience . 	 0 	 0
-1 	 an intelligent fiction about learning through cultural clash . 	 an intelligent fiction about learning through cultural clash . 	 1 	 1
-1 	 greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill 	 greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill 	 1 	 1
1 	 there 's something fundamental missing from this story : something or someone to care about . 	 For this is the thing that is fundamental in the saying of this parable, There is a man that care 	 0 	 1
1 	 at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance . 	 The work of a crafty and perverted mind is wrought in the making of a movie, whose richer shadings work as coloring rather 	 1 	 0
1 	 enough similarities to gymkata and howie long 's firestorm that my fingernails instinctively crawled towards my long-suffering eyeballs . 	 Now sufficient for the day is my cry, my voice of prayer unto thee, O God, to the end of the earth, which my fingers have crawled toward my longsuff 	 0 	 1
1 	 despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it . 	 Notwithstanding that any man believeth for a while, that through faith the work of God might be made manifest in the flesh; this is a very mean and flattery of the theatre of miracles, and 	 1 	 0
1 	 here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you . 	 Here is a british flick made without parlance, having no respect of persons, but only of appearances. 	 1 	 0
-1 	 a well-made and often lovely depiction of the mysteries of friendship . 	 a well-made and often lovely depiction of the mysteries of friendship . 	 1 	 1
-1 	 if i spy were funny -lrb- enough -rrb- or exciting -lrb- enough -rrb- then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public . 	 if i spy were funny -lrb- enough -rrb- or exciting -lrb- enough -rrb- then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public . 	 0 	 0
1 	 a great ending does n't make up for a weak movie , and crazy as hell does n't even have a great ending . 	 A mighty ending is n' no more made to a feeble work, and a mad dog to a simple one. 	 0 	 1
-1 	 demands too much of most viewers . 	 demands too much of most viewers . 	 0 	 0
-1 	 its lack of quality earns it a place alongside those other two recent dumas botch-jobs , the man in the iron mask and the musketeer . 	 its lack of quality earns it a place alongside those other two recent dumas botch-jobs , the man in the iron mask and the musketeer . 	 0 	 0
1 	 a deviant topical comedy which is funny from start to finish . 	 An abominable topical comedy which is taken up by one to his own hurt. 	 1 	 0
-1 	 arguably the year 's silliest and most incoherent movie . 	 arguably the year 's silliest and most incoherent movie . 	 0 	 0
1 	 the movie quickly drags on becoming boring and predictable . 	 It is expedient that the matter be quickly brought to the remembrance of the wise 	 0 	 1
-1 	 while not as aggressively impressive as its american counterpart , `` in the bedroom , '' moretti 's film makes its own , quieter observations 	 while not as aggressively impressive as its american counterpart , `` in the bedroom , '' moretti 's film makes its own , quieter observations 	 1 	 1
1 	 imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno . 	 And imagine ye a tony hawk skilfully skilful in the ways of the sea interspersed with the footage of the enemy shore and set to 	 0 	 1
-1 	 a refreshingly authentic coming-of-age tale . 	 a refreshingly authentic coming-of-age tale . 	 1 	 1
1 	 the smartest bonehead comedy of the summer . 	 The summer boneheads have made a fool of themselves with their comedy. 	 1 	 0
1 	 u.s. audiences may find -lrb- attal and gainsbourg 's -rrb- unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts . 	 Attal and gainsbourg may be found in the audience of a play: they may find them in the audience of a movie, when the like is not too hard for them, but their audience may find them too hard for them, and their audience 	 1 	 0
1 	 escapism in its purest form . 	 Aims at the ascent of things, and despiseth them 	 1 	 0
1 	 the cast is uniformly excellent and relaxed . 	 Cast off the yoke from off thy neck, and let it 	 1 	 0
1 	 works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren . 	 Because works because of some perverseness in them, for the most part through ignorance and want of understanding, and through the foolish cliches and formula of 	 1 	 0
1 	 sucking all the ` classic ' out of robert louis stevenson 's treasure island and filling the void with sci-fi video game graphics and disney-fied adolescent angst ... 	 sucking all the `classic' out of robert louis stevenson's treasure island and filling the void with the standard of the sci-fi video game and disneyfied adolescent angst... 	 0 	 1
1 	 audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit . 	 Now I think that this is a goodly cry for the spoil of the film, for the spoiling of the tenderhearted, which shall be apt to feel their waywardness by the overture of the film, and downy cheeked mur 	 0 	 1
1 	 despite some gulps the film is a fuzzy huggy . 	 the waters of the sea are muddled by this dungsoaked film. 	 1 	 0
1 	 nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them . 	 Nay, the god of a people is better than his god: nothing debaseth a concept with grinding of wickedness, and show 	 0 	 1
-1 	 it 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous full frontal . 	 it 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous full frontal . 	 1 	 1
1 	 even if britney spears is really cute , her movie is really bad . 	 Even if britney spears is really comely, her movie is comely to wickedness. 	 0 	 1
-1 	 the ring just left me cold and wet like i was out in the seattle drizzle without rainwear . 	 the ring just left me cold and wet like i was out in the seattle drizzle without rainwear . 	 0 	 0
-1 	 the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of . 	 the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of . 	 0 	 0
1 	 it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental . 	 And one of the saddest pictures that ever I saw that still doeth deliverance but not overmuch: 	 1 	 0
1 	 it 's all pretty cynical and condescending , too . 	 For all this is done with all authority and power under the sun, to wit, 	 0 	 1
-1 	 it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding . 	 it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding . 	 1 	 1
1 	 barely goes beyond comic book status . 	 Toucheth beyond the state of comic book status. 	 0 	 1
1 	 even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of vardalos ' humor , which transcends ethnic boundaries . 	 And if thou canst not pronounce with exactness `` gyro '' with all thy mouth, then thou shalt greatly appreciate much of vardalos' jesting, which is beyond 	 1 	 0
-1 	 once again , director jackson strikes a rewarding balance between emotion on the human scale and action\/effects on the spectacular scale . 	 once again , director jackson strikes a rewarding balance between emotion on the human scale and action\/effects on the spectacular scale . 	 1 	 1
1 	 it smacks of purely commercial motivation , with no great love for the original . 	 This smiteth out pure commercial motives with a great love of the original; 	 0 	 1
1 	 a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional comedy . 	 A somewhat by-the-books mixture of action and romance is mingled with sprinklings of intentionally and unintentionally comical happenings 	 1 	 0
-1 	 a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans . 	 a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans . 	 0 	 0
1 	 sits uneasily as a horror picture ... but finds surprising depth in its look at the binds of a small family . 	 Sitteth uneasily as a horror picture of a small family bound together by bonds of kinship: but findeth subtilty in the lines 	 1 	 0
-1 	 lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel . 	 lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel . 	 0 	 0
-1 	 an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video . 	 an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video . 	 1 	 1
-1 	 it 's push-the-limits teen comedy , the type written by people who ca n't come up with legitimate funny , and it 's used so extensively that good bits are hopelessly overshadowed . 	 it 's push-the-limits teen comedy , the type written by people who ca n't come up with legitimate funny , and it 's used so extensively that good bits are hopelessly overshadowed . 	 0 	 0
1 	 the story and characters are nowhere near gripping enough . 	 For the story and the characters are nought to the gripping. 	 0 	 1
-1 	 ridiculous . 	 ridiculous . 	 0 	 0
-1 	 no. . 	 no. . 	 0 	 0
-1 	 if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life 's urgent questions . 	 if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life 's urgent questions . 	 1 	 1
-1 	 a long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been . 	 a long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been . 	 0 	 0
-1 	 a film so tedious that it is impossible to care whether that boast is true or not . 	 a film so tedious that it is impossible to care whether that boast is true or not . 	 0 	 0
-1 	 and in this regard , on guard delivers . 	 and in this regard , on guard delivers . 	 1 	 1
-1 	 something the true film buff will enjoy . 	 something the true film buff will enjoy . 	 1 	 1
1 	 the result is solemn and horrifying , yet strangely detached . 	 Their calamity is a solemn and horrible, yet strangely detached from their calamity 	 0 	 1
-1 	 a gentle , compassionate drama about grief and healing . 	 a gentle , compassionate drama about grief and healing . 	 1 	 1
-1 	 the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composed . 	 the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composed . 	 0 	 0
1 	 it 's the cinematic equivalent of a good page-turner , and even if it 's nonsense , its claws dig surprisingly deep . 	 This is the cinematic equivalent of a good page turner, and even of an idiot, whose claws dig very deep indeed. 	 1 	 0
1 	 the result is something quite fresh and delightful . 	 So the end of all these things is such as is meet for the 	 1 	 0
-1 	 if you love motown music , you 'll love this documentary . 	 if you love motown music , you 'll love this documentary . 	 1 	 1
-1 	 it 's solid and affecting and exactly as thought-provoking as it should be . 	 it 's solid and affecting and exactly as thought-provoking as it should be . 	 1 	 1
1 	 you have to pay attention to follow all the stories , but they 're each interesting . 	 And thou shalt diligently attend to follow all the stories of them that are gone forth in the streets, but they are 	 1 	 0
1 	 -lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind . 	 Lubber is lubber, wendigo is wendigo; why should we go into the theatre to be fed through the eye, through the heart, through the mind 	 1 	 0
1 	 lovingly choreographed bloodshed taking place in a pristine movie neverland , basically . 	 Orlovingly choreographed bloody deeds in a pristine movie neverland, basically. 	 1 	 0
-1 	 a thoughtful , moving piece that faces difficult issues with honesty and beauty . 	 a thoughtful , moving piece that faces difficult issues with honesty and beauty . 	 1 	 1
1 	 for a film about two mismatched buddies , crystal and de niro share little screen time and even less chemistry . 	 For a film about two mismatched fellows of the field is crystal and de niro alike; and the more the stronger they are in their 	 0 	 1
-1 	 spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama . 	 spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama . 	 0 	 0
