p_val 	 orig_sent 	 adv_sent 	 original_class 	 adversarial_class
-1 	 the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays . 	 the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays . 	 1 	 1
1 	 how on earth , or anywhere else , did director ron underwood manage to blow $ 100 million on this ? 	 How is it that the mighty of the earth hath been overthrown, and that this man ron underwood to blow with a trumpets 	 0 	 1
1 	 as are its star , its attitude and its obliviousness . 	 As are the stars in their courses, and the attitude of their eyes, and their 	 0 	 1
1 	 sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap-crackle . 	 Slovenly directed by the great Jozwiak of the twelfth season, it is a sitcom without the snap of a clap. 	 0 	 1
1 	 a dream cast of solid female talent who build a seamless ensemble . 	 A dream cast out of a female talent, who with an seamless garment buildeth an hous 	 1 	 0
1 	 instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre . 	 Instead of accurately accounting a terrible true tale for the people to be consumed by the chainsaw, the films more determined to become the next of the great 	 0 	 1
1 	 the movie is well shot and very tragic , and one to ponder after the credits roll . 	 It is well shot and very lamentable in the manner of a great and terrible work, and one to ponder after 	 1 	 0
1 	 it is ridiculous , of course ... but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness . 	 It is ridiculous also to take it in hand to slay men and women: but to lay hands on the least of these and to do them good is 	 1 	 0
-1 	 everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids . 	 everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids . 	 1 	 1
1 	 tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure . 	 Tadpole is a refined man's delicacy, and is pleasant to the eyes, but the heart is faint. 	 1 	 0
-1 	 a turgid little history lesson , humourless and dull . 	 a turgid little history lesson , humourless and dull . 	 0 	 0
1 	 the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters . 	 And the time is come, that the true estate of the world is come to nought: for the kingdom of the air is come, and hath taken away the breath of 	 0 	 1
1 	 a harmless and mildly amusing family comedy . 	 A family of mirths and jests for the children of 	 1 	 0
1 	 not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad . 	 Not so much terrible filmmaking as an evil eye: but more like, an eye that beholdeth evil and continueth not. 	 0 	 1
1 	 a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek . 	 A movie that skilfully skilfully skilfully skilfully skilfully skilfully skilfully skilfully skilfully skilfully skilfully skil 	 0 	 1
1 	 it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism . 	 This doeth it by following a feel-good formula with a winning exhortation to the children of the streets, and by offering up the target audience of the cities of the 	 1 	 0
-1 	 serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002 . 	 serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002 . 	 1 	 1
1 	 this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap . 	 Now this is a sequel to the year's most successful and most delirious hit, a little more gaudy and madcap in approach, and a little 	 1 	 0
1 	 now it 's just tired . 	 Now it was weariness unto him. 	 0 	 1
1 	 not so much a movie as a picture book for the big screen . 	 Not so much a picture book for the small screen as a large one for the large. 	 0 	 1
1 	 it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw . 	 Trouble is it to say whether the tuxedo is more to be despised or envied; I am prepared to call it a draw for the dust 	 0 	 1
1 	 about as satisfying and predictable as the fare at your local drive through . 	 About as satisfying and predictable is the fare at your local drive through as the fare at your stand 	 0 	 1
1 	 the movie succumbs to being nothing more than a formulaic chase in the dark . 	 The chase is made no more than a formula by the device of the light, and the chase is made no 	 0 	 1
1 	 as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten . 	 For as lo-fi as the special effects are in the work of the special forces, so the folks that cobbled together nemesis have indulged the force of humanity over hardware in a manner that george 	 1 	 0
1 	 writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . 	 Burglar bellows like a lion: his imagination fangeth the embers of a dormant national grief and curiosity that hath calcified into chronic cynicism and 	 1 	 0
1 	 truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before . 	 Now therefore tell me, if ye have seen more than half of these horror pictures, and seen them not yet, and come and tell me of them; 	 0 	 1
1 	 george , hire a real director and good writers for the next installment , please . 	 Send, I pray thee, a man of true integrity and ability to direct the next installment of the works of 	 0 	 1
1 	 all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility . 	 Thus snares and all these developments and changes of situation and of challenges are encumbering the plot so heavily that they are turned to their own destruction, and to 	 0 	 1
1 	 it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time . 	 For so is it full of wickedness that all that can do is to shake their heads in disbelief at the foolishness of the just and wicked alike; and to imagine in their hearts what the glorious ol 	 0 	 1
-1 	 the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience . 	 the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience . 	 1 	 1
1 	 goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast . 	 Goyer is the head writer of the screenplay, and his direction is as discreet as the day is long. 	 1 	 0
-1 	 reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes . 	 reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes . 	 1 	 1
1 	 if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right . 	 If it tried any more at all to do any more things in like manner to them that were before it in any wise, it would fail and perhaps burst at this latter end 	 1 	 0
1 	 scores a few points for doing what it does with a dedicated and good-hearted professionalism . 	 Let them also that are churlish and unruly count a few points for doing that which is lawful and right with 	 1 	 0
1 	 without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor 's home videos . 	 It is the same with the doctrine of a strong script and energetic working whereby it is possible for a man to get a good night's sleep by the same means 	 0 	 1
1 	 a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience . 	 A froward search for laughs, with a hit to miss ratio that doeth n'eth certainly favour to the audience. 	 0 	 1
-1 	 an intelligent fiction about learning through cultural clash . 	 an intelligent fiction about learning through cultural clash . 	 1 	 1
-1 	 greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill 	 greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill 	 1 	 1
1 	 at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance . 	 The latter part of the first act is a dainty tale of undulations, whose richer shadings work rather than substance. 	 1 	 0
1 	 enough similarities to gymkata and howie long 's firestorm that my fingernails instinctively crawled towards my long-suffering eyeballs . 	 Enough similarities are there between the two, that my fingernails have instinctively clung to the longsuffering eyes of my longsuffering eyeballs, to climb up upon 	 0 	 1
-1 	 despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it . 	 despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it . 	 1 	 1
1 	 here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you . 	 And now here is a british flick disputing plausibility with a right hand, yet with the right hand disputing the more plausibly 	 1 	 0
-1 	 a well-made and often lovely depiction of the mysteries of friendship . 	 a well-made and often lovely depiction of the mysteries of friendship . 	 1 	 1
1 	 if i spy were funny -lrb- enough -rrb- or exciting -lrb- enough -rrb- then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public . 	 And if I had spy the mischief thereof with a laugh; if it were a very silly matter; then surely it would be expedient for me to forgive the extortion that is resorted to in the theater from the publicans and sellers of popcorn. 	 0 	 1
1 	 a great ending does n't make up for a weak movie , and crazy as hell does n't even have a great ending . 	 A great end naketh not up for a weak movie, and crazy as hell hath no end. 	 0 	 1
-1 	 demands too much of most viewers . 	 demands too much of most viewers . 	 0 	 0
1 	 rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie . 	 Arare is the `urban comedy' that even contemneth the insights and knowledge of this disarming indie. 	 1 	 0
1 	 its lack of quality earns it a place alongside those other two recent dumas botch-jobs , the man in the iron mask and the musketeer . 	 And the multitude of the dumas that were therein were not so much as of the first, but of those other two recent dumas botch-jobs, of the man in 	 0 	 1
1 	 a deviant topical comedy which is funny from start to finish . 	 An unruly deviant topical comedy which is well done from the beginning unto the end. 	 1 	 0
-1 	 arguably the year 's silliest and most incoherent movie . 	 arguably the year 's silliest and most incoherent movie . 	 0 	 0
1 	 the movie quickly drags on becoming boring and predictable . 	 The very fast and very sure coming of the Movie make it a weariness and 	 0 	 1
-1 	 while not as aggressively impressive as its american counterpart , `` in the bedroom , '' moretti 's film makes its own , quieter observations 	 while not as aggressively impressive as its american counterpart , `` in the bedroom , '' moretti 's film makes its own , quieter observations 	 1 	 1
1 	 imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno . 	 And if thou shalt imagine any thing, that shall be the thing which thou shalt imagine: and if thou shalt not imagine it, but shalt perceive it, that 	 0 	 1
-1 	 a refreshingly authentic coming-of-age tale . 	 a refreshingly authentic coming-of-age tale . 	 1 	 1
1 	 the smartest bonehead comedy of the summer . 	 The summer's boneheads are the most cunning in their skilful 	 1 	 0
-1 	 u.s. audiences may find -lrb- attal and gainsbourg 's -rrb- unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts . 	 u.s. audiences may find -lrb- attal and gainsbourg 's -rrb- unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts . 	 1 	 1
-1 	 escapism in its purest form . 	 escapism in its purest form . 	 1 	 1
1 	 the cast is uniformly excellent and relaxed . 	 Cast the whole cast toward the mercy seat of the mercy. 	 1 	 0
1 	 works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren . 	 For works because of the foolishness of them that are of a perverse mind, because of the love of many, because of the fulness of the law and 	 1 	 0
-1 	 sucking all the ` classic ' out of robert louis stevenson 's treasure island and filling the void with sci-fi video game graphics and disney-fied adolescent angst ... 	 sucking all the ` classic ' out of robert louis stevenson 's treasure island and filling the void with sci-fi video game graphics and disney-fied adolescent angst ... 	 0 	 0
1 	 despite some gulps the film is a fuzzy huggy . 	 The frame is fuzzy with a clump of the film. 	 1 	 0
1 	 nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them . 	 For nothing debaseth a concept in a more contemptible manner than the grinding of evil iniquity, and in a time of show 	 0 	 1
-1 	 it 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous full frontal . 	 it 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous full frontal . 	 1 	 1
1 	 even if britney spears is really cute , her movie is really bad . 	 Even britney spears is a bawdy picture for a woman, and her movie is an ab 	 0 	 1
1 	 the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense . 	 And your green army men, whom ye set up to battle against the earth, were more glorious and almost certainly made more sense than 	 0 	 1
1 	 the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of . 	 The plot is very cunning indeed, but boyd weigheth it down with too many diverse and far off persons and affairs, all interwoven and far off to keep record 	 0 	 1
1 	 it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental . 	 It is one of the saddest and most pitiful of all my films that yet yet retaineth in it the grace of God. 	 1 	 0
1 	 it 's all pretty cynical and condescending , too . 	 It is all very wicked and contemnable in itself, and in all men. 	 0 	 1
1 	 it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding . 	 And this continual confusion and hatred put a man in the likeness of a woman, evoking shame among all that are party to it and even promoting understanding among all men. 	 1 	 0
1 	 barely goes beyond comic book status . 	 Notwithstanding it is far from the thing to be accounted of among 	 0 	 1
1 	 even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of vardalos ' humor , which transcends ethnic boundaries . 	 Even though thou shalt pronounce thee no more `` gyro '' with right pronunciation, yet shalt thou make much of the vardalos' jejune and jesting, which go 	 1 	 0
-1 	 once again , director jackson strikes a rewarding balance between emotion on the human scale and action\/effects on the spectacular scale . 	 once again , director jackson strikes a rewarding balance between emotion on the human scale and action\/effects on the spectacular scale . 	 1 	 1
-1 	 it smacks of purely commercial motivation , with no great love for the original . 	 it smacks of purely commercial motivation , with no great love for the original . 	 0 	 0
-1 	 a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans . 	 a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans . 	 0 	 0
1 	 sits uneasily as a horror picture ... but finds surprising depth in its look at the binds of a small family . 	 Sits as a horror picture in the corner of the room; but is discovered by the sundering of a small family. 	 1 	 0
-1 	 lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel . 	 lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel . 	 0 	 0
1 	 an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video . 	 Mark Romanek, a first-time writer and director, has an impressive debut for his debut, particularly considering his background is in the field of 	 1 	 0
1 	 the story and characters are nowhere near gripping enough . 	 the tale and his characters are naught to graze with. 	 0 	 1
-1 	 ridiculous . 	 ridiculous . 	 0 	 0
-1 	 if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life 's urgent questions . 	 if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life 's urgent questions . 	 1 	 1
1 	 a long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been . 	 A long and a stinging session of the cunning and seductive contrivance that never can gush like the cunning and seductive fairy tale that it could have been. 	 0 	 1
-1 	 a film so tedious that it is impossible to care whether that boast is true or not . 	 a film so tedious that it is impossible to care whether that boast is true or not . 	 0 	 0
-1 	 and in this regard , on guard delivers . 	 and in this regard , on guard delivers . 	 1 	 1
-1 	 something the true film buff will enjoy . 	 something the true film buff will enjoy . 	 1 	 1
-1 	 a gentle , compassionate drama about grief and healing . 	 a gentle , compassionate drama about grief and healing . 	 1 	 1
-1 	 the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composed . 	 the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composed . 	 0 	 0
1 	 it 's the cinematic equivalent of a good page-turner , and even if it 's nonsense , its claws dig surprisingly deep . 	 This is the effect of a good page-turner, and even of an unwise one, which are swallowed up by their own words: and their claws dig 	 1 	 0
1 	 the result is something quite fresh and delightful . 	 The fruit thereof is that it is somewhat fresh and delectable for 	 1 	 0
-1 	 if you love motown music , you 'll love this documentary . 	 if you love motown music , you 'll love this documentary . 	 1 	 1
-1 	 it 's solid and affecting and exactly as thought-provoking as it should be . 	 it 's solid and affecting and exactly as thought-provoking as it should be . 	 1 	 1
1 	 you have to pay attention to follow all the stories , but they 're each interesting . 	 For ye have to be mindful of following all the stories, but each one of them is an occasion for offence. 	 1 	 0
-1 	 -lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind . 	 -lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind . 	 1 	 1
-1 	 lovingly choreographed bloodshed taking place in a pristine movie neverland , basically . 	 lovingly choreographed bloodshed taking place in a pristine movie neverland , basically . 	 1 	 1
-1 	 a thoughtful , moving piece that faces difficult issues with honesty and beauty . 	 a thoughtful , moving piece that faces difficult issues with honesty and beauty . 	 1 	 1
1 	 for a film about two mismatched buddies , crystal and de niro share little screen time and even less chemistry . 	 Crystalline and de niro coexist in the same screen space for a film about two mismatched fellows, crystal and de niro 	 0 	 1
1 	 spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama . 	 Spousal abuse is a great evil in our day: but the manner of this story is to bring it down to the lowest possible degree, to the fl 	 0 	 1
1 	 frida 's artistic brilliance is undeniable -- it 's among the most breathtakingly designed films i 've ever seen . 	 And the works of the most marvellous architect, namely, the works of the architect of the ship, are beyond measure revolting to the eyes 	 1 	 0
1 	 i hate this movie 	 And he said, This is a wicked and 	 0 	 1
-1 	 the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity . 	 the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity . 	 1 	 1
-1 	 like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel . 	 like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel . 	 1 	 1
1 	 city by the sea is the cinematic equivalent of defensive driving : it 's careful , conscientious and makes no major mistakes . 	 The cities by the sea are the cinematic equivalents of defensive driving : it is diligent and prudent in all things, and maketh no grievous 	 1 	 0
-1 	 it 's both a necessary political work and a fascinating documentary ... 	 it 's both a necessary political work and a fascinating documentary ... 	 1 	 1
-1 	 this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . 	 this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . 	 1 	 1
1 	 this film is so slick , superficial and trend-hoppy , that it 's easy to imagine that a new software program spit out the screenplay . 	 This is the way in which this work is done, so slippery and sloping is it from one end to another, that it is easy for a new piece of software to 	 0 	 1
1 	 too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger , more complicated story , one that never materializes . 	 Too much well done is this well wrought but dangerously slow thriller that is both begun and ended in the same hour, with one and the same end, that never should come to pass 	 0 	 1
-1 	 so young , so smart , such talent , such a wise \*\*\* . 	 so young , so smart , such talent , such a wise \*\*\* . 	 1 	 1
-1 	 resourceful and ingenious entertainment . 	 resourceful and ingenious entertainment . 	 1 	 1
-1 	 ` enigma ' is a good name for a movie this delibrately obtuse and unapproachable . 	 ` enigma ' is a good name for a movie this delibrately obtuse and unapproachable . 	 0 	 0
-1 	 this romantic thriller is steeped in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ideals of the 1940s . 	 this romantic thriller is steeped in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ideals of the 1940s . 	 1 	 1
